,alcohol,fixedacidity,pH,volatileacidity,freesulfurdioxide,totalsulfurdioxide,residualsugar,type,cat
0,9.4,7.4,3.51,0.7,11.0,34.0,1.9,1,1
1,9.8,7.8,3.2,0.88,25.0,67.0,2.6,1,1
2,9.8,7.8,3.26,0.76,15.0,54.0,2.3,1,1
3,9.8,11.2,3.16,0.28,17.0,60.0,1.9,1,1
4,9.4,7.4,3.51,0.7,11.0,34.0,1.9,1,1
5,9.4,7.4,3.51,0.66,13.0,40.0,1.8,1,1
6,9.4,7.9,3.3,0.6,15.0,59.0,1.6,1,1
7,10.0,7.3,3.39,0.65,15.0,21.0,1.2,1,2
8,9.5,7.8,3.36,0.58,9.0,18.0,2.0,1,2
9,10.5,7.5,3.35,0.5,17.0,102.0,6.1,1,1
10,9.2,6.7,3.28,0.58,15.0,65.0,1.8,1,1
11,10.5,7.5,3.35,0.5,17.0,102.0,6.1,1,1
12,9.9,5.6,3.58,0.615,16.0,59.0,1.6,1,1
13,9.1,7.8,3.26,0.61,9.0,29.0,1.6,1,1
14,9.2,8.9,3.16,0.62,52.0,145.0,3.8,1,1
15,9.2,8.9,3.17,0.62,51.0,148.0,3.9,1,1
16,10.5,8.5,3.3,0.28,35.0,103.0,1.8,1,2
17,9.3,8.1,3.11,0.56,16.0,56.0,1.7,1,1
18,9.0,7.4,3.38,0.59,6.0,29.0,4.4,1,0
19,9.2,7.9,3.04,0.32,17.0,56.0,1.8,1,1
20,9.4,8.9,3.39,0.22,29.0,60.0,1.8,1,1
21,9.7,7.6,3.52,0.39,23.0,71.0,2.3,1,1
22,9.5,7.9,3.17,0.43,10.0,37.0,1.6,1,1
23,9.4,8.5,3.17,0.49,9.0,67.0,2.3,1,1
24,9.7,6.9,3.43,0.4,21.0,40.0,2.4,1,1
25,9.3,6.3,3.34,0.39,11.0,23.0,1.4,1,1
26,9.5,7.6,3.28,0.41,4.0,11.0,1.8,1,1
27,9.5,7.9,3.17,0.43,10.0,37.0,1.6,1,1
28,9.4,7.1,3.47,0.71,14.0,35.0,1.9,1,1
29,9.8,7.8,3.38,0.645,8.0,16.0,2.0,1,1
30,10.1,6.7,3.35,0.675,17.0,82.0,2.4,1,1
31,10.6,6.9,3.46,0.685,22.0,37.0,2.5,1,1
32,9.8,8.3,3.17,0.655,15.0,113.0,2.3,1,1
33,9.4,6.9,3.45,0.605,40.0,83.0,10.7,1,1
34,9.2,5.2,3.38,0.32,13.0,50.0,1.8,1,1
35,9.6,7.8,3.4,0.645,5.0,18.0,5.5,1,1
36,10.8,7.8,3.42,0.6,3.0,15.0,2.4,1,1
37,9.7,8.1,3.23,0.38,13.0,30.0,2.1,1,2
38,9.8,5.7,3.5,1.13,7.0,19.0,1.5,1,0
39,10.5,7.3,3.33,0.45,12.0,87.0,5.9,1,1
40,10.5,7.3,3.33,0.45,12.0,87.0,5.9,1,1
41,9.3,8.8,3.26,0.61,17.0,46.0,2.8,1,0
42,10.5,7.5,3.21,0.49,8.0,14.0,2.6,1,1
43,10.3,8.1,3.3,0.66,9.0,23.0,2.2,1,1
44,9.5,6.8,3.48,0.67,5.0,11.0,1.8,1,1
45,13.1,4.6,3.9,0.52,8.0,65.0,2.1,1,0
46,9.2,7.7,3.25,0.935,22.0,114.0,2.2,1,1
47,9.5,8.7,3.25,0.29,12.0,37.0,1.6,1,1
48,9.2,6.4,3.34,0.4,5.0,12.0,1.6,1,1
49,9.2,5.6,3.32,0.31,12.0,96.0,1.4,1,1
50,9.2,8.8,3.15,0.66,4.0,23.0,1.7,1,1
51,9.4,6.6,3.4,0.52,8.0,15.0,2.2,1,1
52,9.4,6.6,3.39,0.5,6.0,14.0,2.1,1,1
53,9.4,8.6,3.2,0.38,30.0,119.0,3.0,1,1
54,10.2,7.6,3.17,0.51,33.0,73.0,2.8,1,1
55,9.5,7.7,3.34,0.62,25.0,45.0,3.8,1,1
56,9.6,10.2,3.04,0.42,4.0,10.0,3.4,1,1
57,9.4,7.5,3.26,0.63,50.0,110.0,5.1,1,1
58,10.0,7.8,3.43,0.59,17.0,54.0,2.3,1,1
59,9.4,7.3,3.41,0.39,9.0,46.0,2.4,1,1
60,9.2,8.8,3.44,0.4,19.0,52.0,2.2,1,1
61,9.3,7.7,3.21,0.69,20.0,112.0,1.8,1,1
62,9.5,7.5,3.38,0.52,12.0,35.0,1.9,1,2
63,9.8,7.0,3.39,0.735,13.0,54.0,2.0,1,1
64,10.9,7.2,3.41,0.725,4.0,11.0,4.65,1,1
65,10.9,7.2,3.41,0.725,4.0,11.0,4.65,1,1
66,9.6,7.5,3.42,0.52,11.0,39.0,1.5,1,1
67,10.7,6.6,3.44,0.705,6.0,15.0,1.6,1,1
68,10.7,9.3,3.28,0.32,27.0,65.0,2.0,1,1
69,10.5,8.0,3.34,0.705,8.0,19.0,1.9,1,1
70,9.5,7.7,3.32,0.63,15.0,27.0,1.9,1,1
71,9.5,7.7,3.32,0.67,17.0,96.0,2.1,1,1
72,9.5,7.7,3.31,0.69,18.0,94.0,1.9,1,1
73,9.2,8.3,3.31,0.675,11.0,43.0,2.1,1,0
74,9.6,9.7,3.28,0.32,28.0,83.0,2.5,1,1
75,10.5,8.8,3.54,0.41,9.0,42.0,2.2,1,1
76,10.5,8.8,3.54,0.41,9.0,42.0,2.2,1,1
77,10.7,6.8,3.52,0.785,14.0,30.0,2.4,1,1
78,10.1,6.7,3.38,0.75,12.0,80.0,2.0,1,1
79,9.1,8.3,3.16,0.625,27.0,119.0,1.5,1,0
80,9.2,6.2,3.41,0.45,3.0,15.0,1.6,1,1
81,9.4,7.8,3.13,0.43,22.0,67.0,1.9,1,1
82,9.1,7.4,3.36,0.5,21.0,73.0,2.0,1,1
83,9.4,7.3,3.16,0.67,16.0,51.0,1.8,1,1
84,10.3,6.3,3.44,0.3,18.0,61.0,1.8,1,1
85,10.1,6.9,3.41,0.55,19.0,40.0,2.2,1,1
86,9.9,8.6,2.93,0.49,20.0,136.0,1.9,1,1
87,9.6,7.7,3.39,0.49,9.0,31.0,1.9,1,1
88,9.5,9.3,3.14,0.39,34.0,125.0,2.1,1,1
89,9.0,7.0,3.48,0.62,8.0,24.0,1.8,1,1
90,9.5,7.9,3.23,0.52,42.0,140.0,1.9,1,1
91,9.9,8.6,2.93,0.49,20.0,136.0,1.9,1,1
92,9.8,8.6,2.93,0.49,19.0,133.0,2.0,1,1
93,9.6,7.7,3.39,0.49,9.0,31.0,1.9,1,1
94,10.5,5.0,3.75,1.02,41.0,85.0,1.4,1,0
95,12.9,4.7,3.85,0.6,17.0,106.0,2.3,1,1
96,10.7,6.8,3.45,0.775,8.0,23.0,3.0,1,1
97,9.2,7.0,3.25,0.5,3.0,22.0,2.0,1,1
98,9.8,7.6,3.39,0.9,5.0,10.0,2.5,1,1
99,9.0,8.1,3.3,0.545,13.0,35.0,1.9,1,1
100,10.2,8.3,3.4,0.61,11.0,50.0,2.1,1,1
101,10.4,7.8,3.31,0.5,8.0,22.0,1.9,1,1
102,9.0,8.1,3.3,0.545,13.0,35.0,1.9,1,1
103,9.2,8.1,3.29,0.575,12.0,65.0,2.1,1,1
104,9.4,7.2,3.33,0.49,5.0,36.0,2.2,1,1
105,9.2,8.1,3.29,0.575,12.0,65.0,2.1,1,1
106,9.3,7.8,3.08,0.41,18.0,69.0,1.7,1,1
107,9.3,6.2,3.46,0.63,15.0,64.0,1.7,1,1
108,9.6,8.0,3.37,0.33,18.0,80.0,2.5,1,1
109,9.3,8.1,3.21,0.785,37.0,153.0,2.0,1,1
110,9.5,7.8,3.19,0.56,12.0,47.0,1.8,1,1
111,9.8,8.4,3.15,0.62,11.0,108.0,2.2,1,1
112,9.8,8.4,3.15,0.6,14.0,111.0,2.2,1,1
113,9.7,10.1,3.32,0.31,22.0,46.0,2.3,1,1
114,9.5,7.8,3.19,0.56,12.0,47.0,1.8,1,1
115,10.5,9.4,3.07,0.4,13.0,62.0,2.2,1,1
116,10.0,8.3,3.39,0.54,11.0,40.0,1.9,1,1
117,9.4,7.8,3.37,0.56,7.0,28.0,2.0,1,1
118,10.9,8.8,3.21,0.55,14.0,56.0,2.2,1,1
119,9.2,7.0,3.34,0.69,22.0,89.0,1.8,1,1
120,9.0,7.3,3.3,1.07,10.0,89.0,1.7,1,1
121,10.9,8.8,3.21,0.55,14.0,56.0,2.2,1,1
122,9.2,7.3,3.49,0.695,3.0,13.0,2.5,1,1
